Arabic Root Word,ChapterNo,VerseNo,Actual Arabic Word
ح ق ق,22,74,حَقَّ
ق د ر,22,74,قَدْرِهِ
ا ن ن,22,74,إِنَّ
ا ل ه,22,74,اللَّهَ
ق و ي,22,74,لَقَوِيٌّ
ع ز ز,22,74,عَزِيزٌ
ا ل ه,22,75,اللَّهُ
ص ف و,22,75,يَصْطَفِي
م ن,22,75,مِنَ
م ل ك,22,75,الْمَلَائِكَةِ
ر س ل,22,75,رُسُلًا
م ن,22,75,وَمِنَ
ن و س,22,75,النَّاسِ
ا ن ن,22,75,إِنَّ
ا ل ه,22,75,اللَّهَ
س م ع,22,75,سَمِيعٌ
ب ص ر,22,75,بَصِيرٌ
ع ل م,22,76,يَعْلَمُ
م ا,22,76,مَا
ب ي ن,22,76,بَيْنَ
ي د ي,22,76,أَيْدِيهِمْ
م ا,22,76,وَمَا
خ ل ف,22,76,خَلْفَهُمْ
ا ل ي,22,76,وَإِلَى
ا ل ه,22,76,اللَّهِ
ر ج ع,22,76,تُرْجَعُ
ا م ر,22,76,الْأُمُورُ
ا ي ي,22,77,يَاأَيُّهَا
ا ل ل ذ,22,77,الَّذِينَ
ا م ن,22,77,ءَامَنُوا
ر ك ع,22,77,ارْكَعُوا
س ج د,22,77,وَاسْجُدُوا
ع ب د,22,77,وَاعْبُدُوا
ر ب ب,22,77,رَبَّكُمْ
ف ع ل,22,77,وَافْعَلُوا
خ ي ر,22,77,الْخَيْرَ
ل ع ل ل,22,77,لَعَلَّكُمْ
ف ل ح,22,77,تُفْلِحُونَ
ج ه د,22,78,وَجَاهِدُوا
ف ي,22,78,فِي
ا ل ه,22,78,اللَّهِ
ح ق ق,22,78,حَقَّ
ج ه د,22,78,جِهَادِهِ
ه و,22,78,هُوَ
ج ب ي,22,78,اجْتَبَاكُمْ
م ا,22,78,وَمَا
ج ع ل,22,78,جَعَلَ
ع ل ي,22,78,عَلَيْكُمْ
ف ي,22,78,فِي
د ي ن,22,78,الدِّينِ
م ن,22,78,مِنْ
ح ر ج,22,78,حَرَجٍ
م ل ل,22,78,مِلَّةَ
ا ب و,22,78,أَبِيكُمْ
ا ب ر,22,78,إِبْرَاهِيمَ
ه و,22,78,هُوَ
س م و,22,78,سَمَّاكُمُ
س ل م,22,78,الْمُسْلِمِينَ
م ن,22,78,مِنْ
ق ب ل,22,78,قَبْلُ
ف ي,22,78,وَفِي
ه ا ذ,22,78,هَذَا
ك و ن,22,78,لِيَكُونَ
ر س ل,22,78,الرَّسُولُ
ش ه د,22,78,شَهِيدًا
ع ل ي,22,78,عَلَيْكُمْ
ك و ن,22,78,وَتَكُونُوا
ش ه د,22,78,شُهَدَاءَ
ع ل ي,22,78,عَلَى
ن و س,22,78,النَّاسِ
ق و م,22,78,فَأَقِيمُوا
ص ل و,22,78,الصَّلَوةَ
ا ت ي,22,78,وَءَاتُوا
ز ك و,22,78,الزَّكَوةَ
ع ص م,22,78,وَاعْتَصِمُوا
ا ل ه,22,78,بِاللَّهِ
ه و,22,78,هُوَ
و ل ي,22,78,مَوْلَاكُمْ
ن ع م,22,78,فَنِعْمَ
و ل ي,22,78,الْمَوْلَى
ن ع م,22,78,وَنِعْمَ
ن ص ر,22,78,النَّصِيرُ
ق د,23,1,قَدْ
ف ل ح,23,1,أَفْلَحَ
ا م ن,23,1,الْمُؤْمِنُونَ
ا ل ل ذ,23,2,الَّذِينَ
ه م,23,2,هُمْ
ف ي,23,2,فِي
ص ل و,23,2,صَلَاتِهِمْ
خ ش ع,23,2,خَاشِعُونَ
ا ل ل ذ,23,3,وَالَّذِينَ
ه م,23,3,هُمْ
ع ن,23,3,عَنِ
ل غ و,23,3,اللَّغْوِ
ع ر ض,23,3,مُعْرِضُونَ
ا ل ل ذ,23,4,وَالَّذِينَ
ه م,23,4,هُمْ
ز ك و,23,4,لِلزَّكَوةِ
ف ع ل,23,4,فَاعِلُونَ
ا ل ل ذ,23,5,وَالَّذِينَ
ه م,23,5,هُمْ
ف ر ج,23,5,لِفُرُوجِهِمْ
ح ف ظ,23,5,حَافِظُونَ
ا ل ل ا,23,6,إِلَّا
ع ل ي,23,6,عَلَى
ز و ج,23,6,أَزْوَاجِهِمْ
ا و,23,6,أَوْ
م ا,23,6,مَا
م ل ك,23,6,مَلَكَتْ
ي م ن,23,6,أَيْمَانُهُمْ
ا ن ن,23,6,فَإِنَّهُمْ
غ ي ر,23,6,غَيْرُ
ل و م,23,6,مَلُومِينَ
م ن,23,7,فَمَنِ
ب غ ي,23,7,ابْتَغَى
و ر ي,23,7,وَرَاءَ
ذ ل ك,23,7,ذَلِكَ
ا و ل ا,23,7,فَأُولَئِكَ
ه م,23,7,هُمُ
ع د و,23,7,الْعَادُونَ
ا ل ل ذ,23,8,وَالَّذِينَ
ه م,23,8,هُمْ
ا م ن,23,8,لِأَمَانَاتِهِمْ
ع ه د,23,8,وَعَهْدِهِمْ
ر ع ي,23,8,رَاعُونَ
ا ل ل ذ,23,9,وَالَّذِينَ
ه م,23,9,هُمْ
ع ل ي,23,9,عَلَى
ص ل و,23,9,صَلَوَاتِهِمْ
ح ف ظ,23,9,يُحَافِظُونَ
ا و ل ا,23,10,أُولَئِكَ
ه م,23,10,هُمُ
و ر ث,23,10,الْوَارِثُونَ
ا ل ل ذ,23,11,الَّذِينَ
و ر ث,23,11,يَرِثُونَ
ف ر د س,23,11,الْفِرْدَوْسَ
ه م,23,11,هُمْ
ف ي,23,11,فِيهَا
خ ل د,23,11,خَالِدُونَ
ق د,23,12,وَلَقَدْ
خ ل ق,23,12,خَلَقْنَا
ا ن س,23,12,الْإِنْسَانَ
م ن,23,12,مِنْ
س ل ل,23,12,سُلَالَةٍ
م ن,23,12,مِنْ
ط ي ن,23,12,طِينٍ
ث م م,23,13,ثُمَّ
ج ع ل,23,13,جَعَلْنَاهُ
ن ط ف,23,13,نُطْفَةً
ف ي,23,13,فِي
ق ر ر,23,13,قَرَارٍ
م ك ن,23,13,مَكِينٍ
ث م م,23,14,ثُمَّ
خ ل ق,23,14,خَلَقْنَا
ن ط ف,23,14,النُّطْفَةَ
ع ل ق,23,14,عَلَقَةً
خ ل ق,23,14,فَخَلَقْنَا
ع ل ق,23,14,الْعَلَقَةَ
م ض غ,23,14,مُضْغَةً
خ ل ق,23,14,فَخَلَقْنَا
م ض غ,23,14,الْمُضْغَةَ
ع ظ م,23,14,عِظَامًا
ك س و,23,14,فَكَسَوْنَا
ع ظ م,23,14,الْعِظَامَ
ل ح م,23,14,لَحْمًا
ث م م,23,14,ثُمَّ
ن ش ا,23,14,أَنْشَأْنَاهُ
خ ل ق,23,14,خَلْقًا
ا خ ر,23,14,ءَاخَرَ
ب ر ك,23,14,فَتَبَارَكَ
ا ل ه,23,14,اللَّهُ
ح س ن,23,14,أَحْسَنُ
خ ل ق,23,14,الْخَالِقِينَ
ث م م,23,15,ثُمَّ
ا ن ن,23,15,إِنَّكُمْ
ب ع د,23,15,بَعْدَ
ذ ل ك,23,15,ذَلِكَ
م و ت,23,15,لَمَيِّتُونَ
ث م م,23,16,ثُمَّ
ا ن ن,23,16,إِنَّكُمْ
ي و م,23,16,يَوْمَ
ق و م,23,16,الْقِيَامَةِ
ب ع ث,23,16,تُبْعَثُونَ
ق د,23,17,وَلَقَدْ
خ ل ق,23,17,خَلَقْنَا
ف و ق,23,17,فَوْقَكُمْ
س ب ع,23,17,سَبْعَ
ط ر ق,23,17,طَرَائِقَ
م ا,23,17,وَمَا
ك و ن,23,17,كُنَّا
ع ن,23,17,عَنِ
خ ل ق,23,17,الْخَلْقِ
غ ف ل,23,17,غَافِلِينَ
ن ز ل,23,18,وَأَنْزَلْنَا
م ن,23,18,مِنَ
س م و,23,18,السَّمَاءِ
م و ه,23,18,مَاءً
ق د ر,23,18,بِقَدَرٍ
س ك ن,23,18,فَأَسْكَنَّاهُ
ف ي,23,18,فِي
ا ر ض,23,18,الْأَرْضِ
ا ن ن,23,18,وَإِنَّا
ع ل ي,23,18,عَلَى
ذ ه ب,23,18,ذَهَابٍ
ب,23,18,بِهِ
ق د ر,23,18,لَقَادِرُونَ
ن ش ا,23,19,فَأَنْشَأْنَا
ل,23,19,لَكُمْ
ب,23,19,بِهِ
ج ن ن,23,19,جَنَّاتٍ
م ن,23,19,مِنْ
ن خ ل,23,19,نَخِيلٍ
ع ن ب,23,19,وَأَعْنَابٍ
ل,23,19,لَكُمْ
ف ي,23,19,فِيهَا
ف ك ه,23,19,فَوَاكِهُ
ك ث ر,23,19,كَثِيرَةٌ
م ن,23,19,وَمِنْهَا
ا ك ل,23,19,تَأْكُلُونَ
ش ج ر,23,20,وَشَجَرَةً
خ ر ج,23,20,تَخْرُجُ
م ن,23,20,مِنْ
ط و ر,23,20,طُورِ
س ي ن,23,20,سَيْنَاءَ
ن ب ت,23,20,تَنْبُتُ
د ه ن,23,20,بِالدُّهْنِ
ص ب غ,23,20,وَصِبْغٍ
ا ك ل,23,20,لِلْءَاكِلِينَ
ا ن ن,23,21,وَإِنَّ
ل,23,21,لَكُمْ
ف ي,23,21,فِي
ن ع م,23,21,الْأَنْعَامِ
ع ب ر,23,21,لَعِبْرَةً
س ق ي,23,21,نُسْقِيكُمْ
م م ا,23,21,مِمَّا
ف ي,23,21,فِي
ب ط ن,23,21,بُطُونِهَا
ل,23,21,وَلَكُمْ
ف ي,23,21,فِيهَا
ن ف ع,23,21,مَنَافِعُ
ك ث ر,23,21,كَثِيرَةٌ
م ن,23,21,وَمِنْهَا
ا ك ل,23,21,تَأْكُلُونَ
ع ل ي,23,22,وَعَلَيْهَا
ع ل ي,23,22,وَعَلَى
ف ل ك,23,22,الْفُلْكِ
ح م ل,23,22,تُحْمَلُونَ
ق د,23,23,وَلَقَدْ
ر س ل,23,23,أَرْسَلْنَا
ن و ح,23,23,نُوحًا
ا ل ي,23,23,إِلَى
ق و م,23,23,قَوْمِهِ
ق و ل,23,23,فَقَالَ
ق و م,23,23,يَاقَوْمِ
ع ب د,23,23,اعْبُدُوا
ا ل ه,23,23,اللَّهَ
م ا,23,23,مَا
ل,23,23,لَكُمْ
م ن,23,23,مِنْ
ا ل ه,23,23,إِلَهٍ
غ ي ر,23,23,غَيْرُهُ
ل ا,23,23,أَفَلَا
و ق ي,23,23,تَتَّقُونَ
ق و ل,23,24,فَقَالَ
م ل ا,23,24,الْمَلَأُ
ا ل ل ذ,23,24,الَّذِينَ
ك ف ر,23,24,كَفَرُوا
م ن,23,24,مِنْ
ق و م,23,24,قَوْمِهِ
م ا,23,24,مَا
ه ا ذ,23,24,هَذَا
ا ل ل ا,23,24,إِلَّا
ب ش ر,23,24,بَشَرٌ
م ث ل,23,24,مِثْلُكُمْ
ر و د,23,24,يُرِيدُ
ا ن,23,24,أَنْ
ف ض ل,23,24,يَتَفَضَّلَ
ع ل ي,23,24,عَلَيْكُمْ
ل و,23,24,وَلَوْ
ش ي ا,23,24,شَاءَ
ا ل ه,23,24,اللَّهُ
ن ز ل,23,24,لَأَنْزَلَ
م ل ك,23,24,مَلَائِكَةً
م ا,23,24,مَا
س م ع,23,24,سَمِعْنَا
ه ا ذ,23,24,بِهَذَا
ف ي,23,24,فِي
ا ب و,23,24,ءَابَائِنَا
ا و ل,23,24,الْأَوَّلِينَ
ا ن,23,25,إِنْ
ه و,23,25,هُوَ
ا ل ل ا,23,25,إِلَّا
ر ج ل,23,25,رَجُلٌ
ب,23,25,بِهِ
ج ن ن,23,25,جِنَّةٌ
ر ب ص,23,25,فَتَرَبَّصُوا
ب,23,25,بِهِ
ح ت ت ي,23,25,حَتَّى
ح ي ن,23,25,حِينٍ
ق و ل,23,26,قَالَ
ر ب ب,23,26,رَبِّ
ن ص ر,23,26,انْصُرْنِي
ب م ا,23,26,بِمَا
ك ذ ب,23,26,كَذَّبُونِ
و ح ي,23,27,فَأَوْحَيْنَا
ا ل ي,23,27,إِلَيْهِ
ا ن,23,27,أَنِ
ص ن ع,23,27,اصْنَعِ
ف ل ك,23,27,الْفُلْكَ
ع ي ن,23,27,بِأَعْيُنِنَا
و ح ي,23,27,وَوَحْيِنَا
ا ذ ا,23,27,فَإِذَا
ج ي ا,23,27,جَاءَ
ا م ر,23,27,أَمْرُنَا
ف و ر,23,27,وَفَارَ
ت ن و ر,23,27,التَّنُّورُ
س ل ك,23,27,فَاسْلُكْ
ف ي,23,27,فِيهَا
م ن,23,27,مِنْ
ك ل ل,23,27,كُلٍّ
ز و ج,23,27,زَوْجَيْنِ
ث ن ي,23,27,اثْنَيْنِ
ا ه ل,23,27,وَأَهْلَكَ
ا ل ل ا,23,27,إِلَّا
م ن,23,27,مَنْ
س ب ق,23,27,سَبَقَ
ع ل ي,23,27,عَلَيْهِ
ق و ل,23,27,الْقَوْلُ
م ن,23,27,مِنْهُمْ
ل ا,23,27,وَلَا
خ ط ب,23,27,تُخَاطِبْنِي
ف ي,23,27,فِي
ا ل ل ذ,23,27,الَّذِينَ
ظ ل م,23,27,ظَلَمُوا
ا ن ن,23,27,إِنَّهُمْ
غ ر ق,23,27,مُغْرَقُونَ
ا ذ ا,23,28,فَإِذَا
س و ي,23,28,اسْتَوَيْتَ
ا ن ت,23,28,أَنْتَ
م ن,23,28,وَمَنْ
م ع,23,28,مَعَكَ
ع ل ي,23,28,عَلَى
ف ل ك,23,28,الْفُلْكِ
ق و ل,23,28,فَقُلِ
ح م د,23,28,الْحَمْدُ
ا ل ه,23,28,لِلَّهِ
ا ل ل ذ,23,28,الَّذِي
ن ج و,23,28,نَجَّانَا
م ن,23,28,مِنَ
ق و م,23,28,الْقَوْمِ
ظ ل م,23,28,الظَّالِمِينَ
ق و ل,23,29,وَقُلْ
ر ب ب,23,29,رَبِّ
ن ز ل,23,29,أَنْزِلْنِي
ن ز ل,23,29,مُنْزَلًا
ب ر ك,23,29,مُبَارَكًا
ا ن ت,23,29,وَأَنْتَ
خ ي ر,23,29,خَيْرُ
ن ز ل,23,29,الْمُنْزِلِينَ
ا ن ن,23,30,إِنَّ
ف ي,23,30,فِي
ذ ل ك,23,30,ذَلِكَ
ا ي ا,23,30,لَءَايَاتٍ
ا ن,23,30,وَإِنْ
ك و ن,23,30,كُنَّا
ب ل و,23,30,لَمُبْتَلِينَ
ث م م,23,31,ثُمَّ
ن ش ا,23,31,أَنْشَأْنَا
م ن,23,31,مِنْ
ب ع د,23,31,بَعْدِهِمْ
ق ر ن,23,31,قَرْنًا
ا خ ر,23,31,ءَاخَرِينَ
ر س ل,23,32,فَأَرْسَلْنَا
ف ي,23,32,فِيهِمْ
ر س ل,23,32,رَسُولًا
م ن,23,32,مِنْهُمْ
ا ن,23,32,أَنِ
ع ب د,23,32,اعْبُدُوا
ا ل ه,23,32,اللَّهَ
م ا,23,32,مَا
ل,23,32,لَكُمْ
م ن,23,32,مِنْ
ا ل ه,23,32,إِلَهٍ
غ ي ر,23,32,غَيْرُهُ
ل ا,23,32,أَفَلَا
و ق ي,23,32,تَتَّقُونَ
ق و ل,23,33,وَقَالَ
م ل ا,23,33,الْمَلَأُ
م ن,23,33,مِنْ
ق و م,23,33,قَوْمِهِ
ا ل ل ذ,23,33,الَّذِينَ
ك ف ر,23,33,كَفَرُوا
ك ذ ب,23,33,وَكَذَّبُوا
ل ق ي,23,33,بِلِقَاءِ
ا خ ر,23,33,الْءَاخِرَةِ
ت ر ف,23,33,وَأَتْرَفْنَاهُمْ
ف ي,23,33,فِي
ح ي ي,23,33,الْحَيَوةِ
د ن و,23,33,الدُّنْيَا
م ا,23,33,مَا
ه ا ذ,23,33,هَذَا
ا ل ل ا,23,33,إِلَّا
ب ش ر,23,33,بَشَرٌ
م ث ل,23,33,مِثْلُكُمْ
ا ك ل,23,33,يَأْكُلُ
م م ا,23,33,مِمَّا
ا ك ل,23,33,تَأْكُلُونَ
م ن,23,33,مِنْهُ
ش ر ب,23,33,وَيَشْرَبُ
م م ا,23,33,مِمَّا
ش ر ب,23,33,تَشْرَبُونَ
ل ا ن,23,34,وَلَئِنْ
ط و ع,23,34,أَطَعْتُمْ
ب ش ر,23,34,بَشَرًا
م ث ل,23,34,مِثْلَكُمْ
ا ن ن,23,34,إِنَّكُمْ
ا ذ ا,23,34,إِذًا
خ س ر,23,34,لَخَاسِرُونَ
و ع د,23,35,أَيَعِدُكُمْ
ا ن ن,23,35,أَنَّكُمْ
ا ذ ا,23,35,إِذَا
م و ت,23,35,مِتُّمْ
ك و ن,23,35,وَكُنْتُمْ
ت ر ب,23,35,تُرَابًا
ع ظ م,23,35,وَعِظَامًا
ا ن ن,23,35,أَنَّكُمْ
خ ر ج,23,35,مُخْرَجُونَ
ه ي ه ا,23,36,هَيْهَاتَ
ه ي ه ا,23,36,هَيْهَاتَ
ل م ا,23,36,لِمَا
و ع د,23,36,تُوعَدُونَ
ا ن,23,37,إِنْ
ه ي,23,37,هِيَ
ا ل ل ا,23,37,إِلَّا
ح ي ي,23,37,حَيَاتُنَا
د ن و,23,37,الدُّنْيَا
م و ت,23,37,نَمُوتُ
ح ي ي,23,37,وَنَحْيَا
م ا,23,37,وَمَا
ن ح ن,23,37,نَحْنُ
ب ع ث,23,37,بِمَبْعُوثِينَ
ا ن,23,38,إِنْ
ه و,23,38,هُوَ
ا ل ل ا,23,38,إِلَّا
ر ج ل,23,38,رَجُلٌ
ف ر ي,23,38,افْتَرَى
ع ل ي,23,38,عَلَى
ا ل ه,23,38,اللَّهِ
ك ذ ب,23,38,كَذِبًا
م ا,23,38,وَمَا
ن ح ن,23,38,نَحْنُ
ل,23,38,لَهُ
ا م ن,23,38,بِمُؤْمِنِينَ
ق و ل,23,39,قَالَ
ر ب ب,23,39,رَبِّ
ن ص ر,23,39,انْصُرْنِي
ب م ا,23,39,بِمَا
ك ذ ب,23,39,كَذَّبُونِ
ق و ل,23,40,قَالَ
ع م م ا,23,40,عَمَّا
ق ل ل,23,40,قَلِيلٍ
ص ب ح,23,40,لَيُصْبِحُنَّ
ن د م,23,40,نَادِمِينَ
ا خ ذ,23,41,فَأَخَذَتْهُمُ
ص ي ح,23,41,الصَّيْحَةُ
ح ق ق,23,41,بِالْحَقِّ
ج ع ل,23,41,فَجَعَلْنَاهُمْ
غ ث ا,23,41,غُثَاءً
ب ع د,23,41,فَبُعْدًا
ق و م,23,41,لِلْقَوْمِ
ظ ل م,23,41,الظَّالِمِينَ
ث م م,23,42,ثُمَّ
ن ش ا,23,42,أَنْشَأْنَا
م ن,23,42,مِنْ
ب ع د,23,42,بَعْدِهِمْ
ق ر ن,23,42,قُرُونًا
ا خ ر,23,42,ءَاخَرِينَ
م ا,23,43,مَا
س ب ق,23,43,تَسْبِقُ
م ن,23,43,مِنْ
ا م م,23,43,أُمَّةٍ
ا ج ل,23,43,أَجَلَهَا
م ا,23,43,وَمَا
ا خ ر,23,43,يَسْتَءْخِرُونَ
ث م م,23,44,ثُمَّ
ر س ل,23,44,أَرْسَلْنَا
ر س ل,23,44,رُسُلَنَا
و ت ر,23,44,تَتْرَا
ك ل ل,23,44,كُلَّ
م ا,23,44,مَا
ج ي ا,23,44,جَاءَ
ا م م,23,44,أُمَّةً
ر س ل,23,44,رَسُولُهَا
ك ذ ب,23,44,كَذَّبُوهُ
ت ب ع,23,44,فَأَتْبَعْنَا
ب ع ض,23,44,بَعْضَهُمْ
ب ع ض,23,44,بَعْضًا
ج ع ل,23,44,وَجَعَلْنَاهُمْ
ح د ث,23,44,أَحَادِيثَ
ب ع د,23,44,فَبُعْدًا
ق و م,23,44,لِقَوْمٍ
ل ا,23,44,لَا
ا م ن,23,44,يُؤْمِنُونَ
ث م م,23,45,ثُمَّ
ر س ل,23,45,أَرْسَلْنَا
م و س,23,45,مُوسَى
ا خ و,23,45,وَأَخَاهُ
ه ر ن,23,45,هَارُونَ
ا ي ا,23,45,بِءَايَاتِنَا
س ل ط,23,45,وَسُلْطَانٍ
ب ي ن,23,45,مُبِينٍ
ا ل ي,23,46,إِلَى
ف ر ع,23,46,فِرْعَوْنَ
م ل ا,23,46,وَمَلَإيهِ
ك ب ر,23,46,فَاسْتَكْبَرُوا
ك و ن,23,46,وَكَانُوا
ق و م,23,46,قَوْمًا
ع ل و,23,46,عَالِينَ
ق و ل,23,47,فَقَالُوا
ا م ن,23,47,أَنُؤْمِنُ
ب ش ر,23,47,لِبَشَرَيْنِ
م ث ل,23,47,مِثْلِنَا
ق و م,23,47,وَقَوْمُهُمَا
ل,23,47,لَنَا
ع ب د,23,47,عَابِدُونَ
ك ذ ب,23,48,فَكَذَّبُوهُمَا
ك و ن,23,48,فَكَانُوا
م ن,23,48,مِنَ
ه ل ك,23,48,الْمُهْلَكِينَ
ق د,23,49,وَلَقَدْ
ا ت ي,23,49,ءَاتَيْنَا
م و س,23,49,مُوسَى
ك ت ب,23,49,الْكِتَابَ
ل ع ل ل,23,49,لَعَلَّهُمْ
ه د ي,23,49,يَهْتَدُونَ
ج ع ل,23,50,وَجَعَلْنَا
ب ن و,23,50,ابْنَ
م ر ي م,23,50,مَرْيَمَ
ا م م,23,50,وَأُمَّهُ
ا ي ا,23,50,ءَايَةً
ا و ي,23,50,وَءَاوَيْنَاهُمَا
ا ل ي,23,50,إِلَى
ر ب و,23,50,رَبْوَةٍ
ذ و,23,50,ذَاتِ
ق ر ر,23,50,قَرَارٍ
ع ي ن,23,50,وَمَعِينٍ
ا ي ي,23,51,يَاأَيُّهَا
ر س ل,23,51,الرُّسُلُ
ا ك ل,23,51,كُلُوا
م ن,23,51,مِنَ
ط ي ب,23,51,الطَّيِّبَاتِ
ع م ل,23,51,وَاعْمَلُوا
ص ل ح,23,51,صَالِحًا
ا ن ن,23,51,إِنِّي
ب م ا,23,51,بِمَا
ع م ل,23,51,تَعْمَلُونَ
ع ل م,23,51,عَلِيمٌ
ا ن ن,23,52,وَإِنَّ
ه ا ذ,23,52,هَذِهِ
ا م م,23,52,أُمَّتُكُمْ
ا م م,23,52,أُمَّةً
و ح د,23,52,وَاحِدَةً
ا ن ا,23,52,وَأَنَا
ر ب ب,23,52,رَبُّكُمْ
و ق ي,23,52,فَاتَّقُونِ
ق ط ع,23,53,فَتَقَطَّعُوا
ا م ر,23,53,أَمْرَهُمْ
ب ي ن,23,53,بَيْنَهُمْ
ز ب ر,23,53,زُبُرًا
ك ل ل,23,53,كُلُّ
ح ز ب,23,53,حِزْبٍ
ب م ا,23,53,بِمَا
ل د ي,23,53,لَدَيْهِمْ
ف ر ح,23,53,فَرِحُونَ
و ذ ر,23,54,فَذَرْهُمْ
ف ي,23,54,فِي
غ م ر,23,54,غَمْرَتِهِمْ
ح ت ت ي,23,54,حَتَّى
ح ي ن,23,54,حِينٍ
ح س ب,23,55,أَيَحْسَبُونَ
ا ن ن م,23,55,أَنَّمَا
م د د,23,55,نُمِدُّهُمْ
ب,23,55,بِهِ
م ن,23,55,مِنْ
م و ل,23,55,مَالٍ
ب ن و,23,55,وَبَنِينَ
س ر ع,23,56,نُسَارِعُ
ل,23,56,لَهُمْ
ف ي,23,56,فِي
خ ي ر,23,56,الْخَيْرَاتِ
ب ل,23,56,بَلْ
ل ا,23,56,لَا
ش ع ر,23,56,يَشْعُرُونَ
ا ن ن,23,57,إِنَّ
ا ل ل ذ,23,57,الَّذِينَ
ه م,23,57,هُمْ
م ن,23,57,مِنْ
خ ش ي,23,57,خَشْيَةِ
ر ب ب,23,57,رَبِّهِمْ
ش ف ق,23,57,مُشْفِقُونَ
ا ل ل ذ,23,58,وَالَّذِينَ
ه م,23,58,هُمْ
ا ي ا,23,58,بِءَايَاتِ
ر ب ب,23,58,رَبِّهِمْ
ا م ن,23,58,يُؤْمِنُونَ
ا ل ل ذ,23,59,وَالَّذِينَ
ه م,23,59,هُمْ
ر ب ب,23,59,بِرَبِّهِمْ
ل ا,23,59,لَا
ش ر ك,23,59,يُشْرِكُونَ
ا ل ل ذ,23,60,وَالَّذِينَ
ا ت ي,23,60,يُؤْتُونَ
م ا,23,60,مَا
ا ت ي,23,60,ءَاتَوْا
ق ل ب,23,60,وَقُلُوبُهُمْ
و ج ل,23,60,وَجِلَةٌ
ا ن ن,23,60,أَنَّهُمْ
ا ل ي,23,60,إِلَى
ر ب ب,23,60,رَبِّهِمْ
ر ج ع,23,60,رَاجِعُونَ
ا و ل ا,23,61,أُولَئِكَ
س ر ع,23,61,يُسَارِعُونَ
ف ي,23,61,فِي
خ ي ر,23,61,الْخَيْرَاتِ
ه م,23,61,وَهُمْ
ل,23,61,لَهَا
س ب ق,23,61,سَابِقُونَ
ل ا,23,62,وَلَا
ك ل ف,23,62,نُكَلِّفُ
ن ف س,23,62,نَفْسًا
ا ل ل ا,23,62,إِلَّا
و س ع,23,62,وُسْعَهَا
ل د ي,23,62,وَلَدَيْنَا
ك ت ب,23,62,كِتَابٌ
ن ط ق,23,62,يَنْطِقُ
ح ق ق,23,62,بِالْحَقِّ
ه م,23,62,وَهُمْ
ل ا,23,62,لَا
ظ ل م,23,62,يُظْلَمُونَ
ب ل,23,63,بَلْ
ق ل ب,23,63,قُلُوبُهُمْ
ف ي,23,63,فِي
غ م ر,23,63,غَمْرَةٍ
م ن,23,63,مِنْ
ه ا ذ,23,63,هَذَا
ل,23,63,وَلَهُمْ
ع م ل,23,63,أَعْمَالٌ
م ن,23,63,مِنْ
د و ن,23,63,دُونِ
ذ ل ك,23,63,ذَلِكَ
ه م,23,63,هُمْ
ل,23,63,لَهَا
ع م ل,23,63,عَامِلُونَ
ح ت ت ي,23,64,حَتَّى
ا ذ ا,23,64,إِذَا
ا خ ذ,23,64,أَخَذْنَا
ت ر ف,23,64,مُتْرَفِيهِمْ
ع ذ ب,23,64,بِالْعَذَابِ
ا ذ ا,23,64,إِذَا
ه م,23,64,هُمْ
ج ا ر,23,64,يَجْءَرُونَ
ل ا,23,65,لَا
ج ا ر,23,65,تَجْءَرُوا
ي و م,23,65,الْيَوْمَ
ا ن ن,23,65,إِنَّكُمْ
م ن,23,65,مِنَّا
ل ا,23,65,لَا
ن ص ر,23,65,تُنْصَرُونَ
ق د,23,66,قَدْ
ك و ن,23,66,كَانَتْ
ا ي ا,23,66,ءَايَاتِي
ت ل و,23,66,تُتْلَى
ع ل ي,23,66,عَلَيْكُمْ
ك و ن,23,66,فَكُنْتُمْ
ع ل ي,23,66,عَلَى
ع ق ب,23,66,أَعْقَابِكُمْ
ن ك ص,23,66,تَنْكِصُونَ
ك ب ر,23,67,مُسْتَكْبِرِينَ
ب,23,67,بِهِ
س م ر,23,67,سَامِرًا
ه ج ر,23,67,تَهْجُرُونَ
ل م,23,68,أَفَلَمْ
د ب ر,23,68,يَدَّبَّرُوا
ق و ل,23,68,الْقَوْلَ
ا م,23,68,أَمْ
ج ي ا,23,68,جَاءَهُمْ
م ا,23,68,مَا
ل م,23,68,لَمْ
ا ت ي,23,68,يَأْتِ
ا ب و,23,68,ءَابَاءَهُمُ
ا و ل,23,68,الْأَوَّلِينَ
ا م,23,69,أَمْ
ل م,23,69,لَمْ
ع ر ف,23,69,يَعْرِفُوا
ر س ل,23,69,رَسُولَهُمْ
ه م,23,69,فَهُمْ
ل,23,69,لَهُ
ن ك ر,23,69,مُنْكِرُونَ
ا م,23,70,أَمْ
ق و ل,23,70,يَقُولُونَ
ب,23,70,بِهِ
ج ن ن,23,70,جِنَّةٌ
ب ل,23,70,بَلْ
ج ي ا,23,70,جَاءَهُمْ
ح ق ق,23,70,بِالْحَقِّ
ك ث ر,23,70,وَأَكْثَرُهُمْ
ح ق ق,23,70,لِلْحَقِّ
ك ر ه,23,70,كَارِهُونَ
ل و,23,71,وَلَوِ
ت ب ع,23,71,اتَّبَعَ
ح ق ق,23,71,الْحَقُّ
ه و ي,23,71,أَهْوَاءَهُمْ
ف س د,23,71,لَفَسَدَتِ
س م و,23,71,السَّمَاوَاتُ
